index,대화0,대화1,대화2,대화3,대화4,대화5
76,공란,공란,맛있는 음식을 먹었는데 꿈이었어. 다 먹고 일어났으면 좋았을 텐데...,최근 시골집에 방문했는데 풀이 무성했어. 그리고 무척이나 작았지,(천장을 보고 있다. 시선을 따라가니 거미줄이 처져 있다.),발을 제2의 심장이라고 부른대. 지압하면 건강에 도움이 되는 거 같아
77,공란,공란,빗물이 아무리 많아도 마실 수는 없지,병원 가는 것은 두려워. 예전이나 지금이나 앞으로도 계속 그럴 거 같아 ,요리를 연습하다가 손을 다쳤어. 어서 잘하는 날이 오면 좋겠어,먼저 믿어주지 않으면 나도 믿음을 받을 수 없다고 하더라
78,공란,공란,(무언가 생각을 하는 듯하다. 한참을 창밖을 보고 있다.),내가 무서운 꿈을 꾸다가 깨면 엄마가 항상 등을 토닥여 줬지,하늘을 나는 꿈을 꿔보고 싶어. 그럼 구름 위로 올라가서 햇살을 볼 거야,생각을 속에 담아두지 말고 말이나 글을 써서 상대방에게 표현하는 것이 좋아
79,공란,공란,어릴 때 천둥만 치면 이불을 뒤집어쓰고 빨리 지나가길 바랐지,환기를 자주 시켰더니 먼지가 줄어든 거 같아,어제는 열심히 화장실 청소를 했어. 힘들었지만 깨끗해져서 기분이 좋아,계단을 오르면 무릎이 아플 때가 있어
80,공란,공란,꼭 중요할 때 할 말이 생각나지 않는 거 같아,어릴 때는 시골집이 정말 넓었어. 그 작은 몸으로 여기저기 돌아다녔지,과일주스를 마시고 싶어. 달콤하고 상큼하겠지,다리에 힘이 별로 없어서 오래 걸으면 아픈 거 같아
81,공란,공란,놀이터 미끄럼틀을 타다가 떨어진 적이 있었어. 등으로 떨어졌는데 숨이 안 쉬어지더라고,전에는 시간이 언제 가나 했는데 요즘에는 시간이 참 빨리 가는 것 같아,초콜릿과 사탕은 둘 다 달달해서 좋아. 단것을 먹으면 기분이 좋아지거든,행복한 삶을 찾는다는 것은 어려운 일이야
82,공란,공란,현재를 영어로 present라고 하더라. 과거의 선물인 것일까,(콜록콜록) 먼지가 자꾸 목에 들어가네 환기를 시켜야겠어,따뜻한 스프에 빵을 찍어 먹고 싶어. 나중에 같이 먹었으면 좋겠어,인생은 한 번뿐이라 소중한 거야
83,공란,공란,거북이는 어떤 소리를 내며 우는 걸까,저번에 창문에 붙인 스티커가 귀여웠어. 나중에 또 살까 생각 중이야,요즘 다양한 책을 읽게 되어서 좋은 거 같아. 세상에는 얼마나 다양한 책이 있을지 궁금해,세상에는 좋은 음악들이 많이 있어
84,공란,공란,해가 있는데 비 오는 것을 여우비라고 하지. 요즘 본 적이 없는 거 같아,"바람에 창문이 흔들리지만, 예전만큼 무섭지는 않아",메모지가 있으면 필요한 것을 적을 수 있어서 좋아. 붙일 수도 있고,살아가면서 누군가와 함께일 수도 있고 혼자가 될 수도 있어
85,공란,공란,내가 아파도 옆에 돌봐주는 사람이 없으면 ...솔직히 좀 슬픈 거 같아,기다리는 건 지치는 일이야. 나도 그렇지만 상대방도 그렇지,..하암 졸리면 잠을 잘 수 있지. 수면은 살아가는 데 꼭 필요해,배고프면 배에서 꼬르륵 소리가 날 때가 있어
86,공란,공란,공란,공란,공란,가끔은 외로움이 필요할 때도 있어. 언제인지는 사람마다 다를 뿐이지
87,공란,공란,공란,공란,공란,책을 읽으면 지식이 쌓여
88,공란,공란,공란,공란,공란,혼자 있을 때는 주로 책을 읽어. 집중도 잘 되어서 좋아
89,공란,공란,공란,공란,공란,밖에 나가면 시원하고 집에 있으면 아늑해
90,공란,공란,공란,공란,공란,저번에 창밖에 비둘기랑 눈이 마주친 적 있어. 바로 날아갔지만
91,공란,공란,공란,공란,공란,오래 앉아 있으면 허리가 아파. 가볍게 몸을 움직이는 게 좋지
92,공란,공란,공란,공란,공란,종이를 넘기다가 손이 베이면 아파. 조심해야 해
93,공란,공란,공란,공란,공란,심장이 뛰고 있는 것을 느끼면 내가 살아있음을 느낄 수 있어
94,공란,공란,공란,공란,공란,집안이 답답하면 밖에 나가서 공기를 쐬면 좋아
95,공란,공란,공란,공란,공란,어깨 근육이 뭉쳤다면 풀어주는 게 좋지
96,공란,공란,공란,공란,공란,저번에 책장모서리에 팔꿈치를 찧였어 ...너무 아팠어
97,공란,공란,공란,공란,공란,먼지 없는 세상에 살면 청소를 덜 할 수 있을 텐데 ..얼마나 좋을까
98,공란,공란,공란,공란,공란,비타민을 먹는 것은 중요해. 밖에 나가면 사 먹을 수 있어
99,공란,공란,공란,공란,공란,"시원한 것, 따뜻한 것을 먹고 싶으면 밖에 나가서 사 먹을 수 있어"
100,공란,공란,공란,공란,공란,..가끔 할 말이 없을 때도 있지
101,공란,공란,공란,공란,공란,말을 너무 많이 하면 목이 말라
102,공란,공란,공란,공란,공란,대화한다는 것은 어려운 일이야
103,공란,공란,공란,공란,공란,요즘 꿈을 많이 꾸는 거 같아
104,공란,공란,공란,공란,공란,생각나는 것을 잊지 않기 위해 메모하는 습관을 지니는 것이 좋아
105,공란,공란,공란,공란,공란,여름이 되면 정말 더워지는 거 같아 ..땀도 많이 흘리고
106,공란,공란,공란,공란,공란,봄이 되면 벚꽃이 정말 아름다운 거 같아
107,공란,공란,공란,공란,공란,가을이 되면 떨어진 낙엽 때문에 나무들이 추워 보여
108,공란,공란,공란,공란,공란,겨울이 되면 하늘에서 눈이 내려와 ..그리고 춥지
109,공란,공란,공란,공란,공란,환절기에는 감기에 걸리지 않게 조심해야 해
110,공란,공란,공란,공란,공란,가끔 봄이 여도 눈이 올 때가 있더라
111,공란,공란,공란,공란,공란,매미 소리가 들려오면 여름이 시작되는 것이 느껴져
112,공란,공란,공란,공란,공란,가을에 떨어진 낙엽을 밟으면 바스락거리는 소리가 좋아
113,공란,공란,공란,공란,공란,겨울에 옷을 얇게 입으면 정말 추울 거야
114,공란,공란,공란,공란,공란,따뜻한 곳에서 거북이는 겨울잠을 자지 않는 거 같아
115,공란,공란,공란,공란,공란,사막의 피라미드를 보면 어떻게 만들었는지 신기해
116,공란,공란,공란,공란,공란,책에서 아름다운 도시들의 사진을 보았어. 한번 가보고 싶어
117,공란,공란,공란,공란,공란,초원에 가면 많은 동물이 있겠지
118,공란,공란,공란,공란,공란,지금 내가 할 수 있는 일이 있다면 최선을 다하는 게 좋겠지
119,공란,공란,공란,공란,공란,(잠깐 졸았다가 다시 고개를 들었다)
120,공란,공란,공란,공란,공란,노래를 부르고 싶은 기분이야. 빗소리에 묻혀서 크게 불러도 될 거 같아
121,공란,공란,공란,공란,공란,(천장을 보고 있다. 시선을 따라가니 거미줄이 처져 있다.)
122,공란,공란,공란,공란,공란,요리를 연습하다가 손을 다쳤어. 어서 잘하는 날이 오면 좋겠어
123,공란,공란,공란,공란,공란,하늘을 나는 꿈을 꿔보고 싶어. 그럼 구름 위로 올라가서 햇살을 볼 거야
124,공란,공란,공란,공란,공란,Z창 밖에 새가 날아간 거 같은데 봤어?| 봤어|비가 그만큼 적게 온다는 뜻일까. 잘 모르겠네|못 봤어|잘못 본 걸까. 정말이면 비가 조금 올지도 모른다고 생각해
125,공란,공란,공란,공란,공란,어제는 열심히 화장실 청소를 했어. 힘들었지만 깨끗해져서 기분이 좋아
126,공란,공란,공란,공란,공란,과일주스를 마시고 싶어. 달콤하고 상큼하겠지
127,공란,공란,공란,공란,공란,초콜릿과 사탕은 둘 다 달달해서 좋아. 단것을 먹으면 기분이 좋아지거든
128,공란,공란,공란,공란,공란,따뜻한 스프에 빵을 찍어 먹고 싶어. 나중에 같이 먹었으면 좋겠어
129,공란,공란,공란,공란,공란,요즘 다양한 책을 읽게 되어서 좋은 거 같아. 세상에는 얼마나 다양한 책이 있을지 궁금해
130,공란,공란,공란,공란,공란,메모지가 있으면 필요한 것을 적을 수 있어서 좋아. 붙일 수도 있고
131,공란,공란,공란,공란,공란,..하암 졸리면 잠을 잘 수 있지. 수면은 살아가는 데 꼭 필요해
132,공란,공란,공란,공란,공란,창문에 있는 커튼의 색이 정말 좋은 거 같아
133,공란,공란,공란,공란,공란,비가 창문을 두드리는 소리가 좋은 거 같아. 날 부르는 것처럼
134,공란,공란,공란,공란,공란,저번에 환기를 시키려고 창문을 열었다가 갑자기 바람이 불어서 비가 방에 들어왔어 ..급하게 다시 닫았지
135,공란,공란,공란,공란,공란,창문을 열었다가 바람을 타고 신문지가 날아왔어. 물론 젖어 있어서 볼 수 없었어
136,공란,공란,공란,공란,공란,이제 바람이 강하게 불어도 창문이 덜컹거리지 않아서 좋아
137,공란,공란,공란,공란,공란,거북이는 비를 좋아할까 싫어할까 ..흠
138,공란,공란,공란,공란,공란,어떤 지역의 거북이는 걷는 속도가 빠르다던데 정말일까
139,공란,공란,공란,공란,공란,저번에 거북이가 움직이질 않아서 자세히 보니까 자고 있었어
140,공란,공란,공란,공란,공란,저번에 거북이가 식물을 먹으려고 했었어. 정말 큰일 날뻔했지
141,공란,공란,공란,공란,공란,(거북이랑 눈이 마주쳤다 ...그렇게 눈싸움을 하다가 거북이가 고개를 돌렸다)
142,공란,공란,공란,공란,공란,우산은 역시 우산꽂이에 있어야 해
143,공란,공란,공란,공란,공란,TV를 너무 많이 보면 좀 쉬었다가 봐야 해
144,공란,공란,공란,공란,공란,벌레들의 걷는 속도는 나름 빠른 거 같아
145,공란,공란,공란,공란,공란,거미줄은 여기저기 널려있어. 심지어 내 얼굴에도 붙는 걸
146,공란,공란,공란,공란,공란,벌레들은 어디로 가는 걸까.. 궁금해
147,공란,공란,공란,공란,공란,전등은 방을 밝게 해줘. 꼭 필요해
148,공란,공란,공란,공란,공란,식물을 키운다는 것은 정성과 기다림이 필요해
149,공란,공란,공란,공란,공란,물컵을 가지고 있니? 빗물을 모을 때 정말 유용한 거 같아
150,공란,공란,공란,공란,공란,잠은 자는 것은 좋지만 너무 많이 자면 건강에 안 좋아
151,공란,공란,공란,공란,공란,신문을 읽으면 세상이 어떻게 돌아가는지 알게 되는 거 같아
152,공란,공란,공란,공란,공란,신문에 적힌 농담들은 재밌는 거 같아
153,공란,공란,공란,공란,공란,신문을 읽으면 알지 못했던 사자성어를 알 게 되어서 좋은 거 같아
154,공란,공란,공란,공란,공란,책을 읽으면 종이 냄새가 비 때문에 더 진하게 느껴져
155,공란,공란,공란,공란,공란,가끔 빗소리는 나만을 위한 작은 연주회 같아
156,공란,공란,공란,공란,공란,내가 살고 있는 곳은 단칸방이야. 이 이상은 없어
157,공란,공란,공란,공란,공란,새들에게 비가 온다는 것은 자유롭지 못한 공간 속에서 살아가는 것과 같아
158,공란,공란,공란,공란,공란,비는 누군가에게는 행복을 다른 누군가에게는 슬픔을 주지
159,공란,공란,공란,공란,공란,비가 내리면 미세먼지가 사라지는데 도움이 되는 거 같아
160,공란,공란,공란,공란,공란,샌드위치를 먹고 싶지만 채소가 너무 많아
161,공란,공란,공란,공란,공란,밖에 나가서 과자를 먹고 싶어
162,공란,공란,공란,공란,공란,햇살이 따뜻했던 게 기억이 나
163,공란,공란,공란,공란,공란,어릴 때 비 오는 날에 뛰어놀았던 기억이 나
164,공란,공란,공란,공란,공란,반딧불이를 본 적이 있어? 마치 별처럼 반짝반짝 빛이 났었지. 요즘엔 보기 힘들지만
165,공란,공란,공란,공란,공란,저번에 강아지를 만진 적이 있었는데 부드러웠어
166,공란,공란,공란,공란,공란,방을 청소 안 하면 먼지가 쌓이게 돼
167,공란,공란,공란,공란,공란,밤에 창문으로 빛이 비쳐서 밖을 내다봤더니 구름 사이로 달님이 살짝 보였어
168,공란,공란,공란,공란,공란,비가 오면 모든 곳이 축축해져. 적어도 불이 날 걱정은 없겠지
169,공란,공란,공란,공란,공란,천둥이 치면 무섭지만 계속 들으면 익숙해질 것 같아
170,공란,공란,공란,공란,공란,잘 때 이불을 덮고 자면 좋은 꿈을 꿀 수 있을 거 같아
171,공란,공란,공란,공란,공란,네가 오기 전에 책장에 먼지가 쌓여서 청소했었어
172,공란,공란,공란,공란,공란,방이 항상 쾌적해야 몸 건강에 좋은 거 같아
173,공란,공란,공란,공란,공란,저번에 밖에서 떠드는 소리가 나서 창밖을 쳐다보니 아이들이 우비를 입고 놀고 있었어
174,공란,공란,공란,공란,공란,얇게 입고 다니다 방심하면 감기에 걸려. 그러니까 감기 걸리지 않게 조심해
175,공란,공란,공란,공란,공란,몸이 건강한 게 좋아. 너의 건강이 좋길 바라
176,공란,공란,공란,공란,공란,(기침하다가 눈이 마주쳤다)난 괜찮아
177,공란,공란,공란,공란,공란,운동은 중요한 거야. 같이 산책하러 나가면 좋을 거야
178,공란,공란,공란,공란,공란,"빵에는 다양한 종류가 있어. 팥빵, 크림빵 ..말하니까 먹고 싶네"
179,공란,공란,공란,공란,공란,(앞에 TV를 보다가 다시 시선을 거두었다)
180,공란,공란,공란,공란,공란,(천장을 보다가 다시 시선을 거두었다)
181,공란,공란,공란,공란,공란,책을 많이 읽으면 맞춤법을 맞추는 데 도움이 되는 거 같아
182,공란,공란,공란,공란,공란,비가 올 때 솜사탕을 먹으면 바람이 불어서 솜사탕이 비에 녹겠지
183,공란,공란,공란,공란,공란,저번에 천둥이 치다가 정전이 된 적이 있었어
184,공란,공란,공란,공란,공란,어릴 때 정전이 되어 버리면 무서웠지. 사실 지금도 무서워
185,공란,공란,공란,공란,공란,깜깜하면 아무것도 안 보여서 답답해
186,공란,공란,공란,공란,공란,어릴 때 바다에 갔는데 수영을 못 해서 모래성을 쌓으며 놀았어
187,공란,공란,공란,공란,공란,소라 껍데기를 귀에 대고 들으면 바닷소리가 나
188,공란,공란,공란,공란,공란,바닷소리도 빗소리처럼 듣고 있으면 잠이 잘 와
189,공란,공란,공란,공란,공란,꽃이 피어나는 것을 보면 나도 기분이 좋아져
190,공란,공란,공란,공란,공란,어릴 때 밤에 회전목마를 탔는데 너무 아름다웠어
191,공란,공란,공란,공란,공란,귀찮아도 움직여야 할 때는 움직여야 해
192,공란,공란,공란,공란,공란,산책하다가 아기를 봤는데 정말 귀여웠어
193,공란,공란,공란,공란,공란,등산은 내가 하기에는 조금 힘든 거 같아
194,공란,공란,공란,공란,공란,밤에 야경은 언제 봐도 아름다운 거 같아
195,공란,공란,공란,공란,공란,비 온 뒤에 무지개를 한번 보고 싶어
196,공란,공란,공란,공란,공란,미세먼지가 심할 때는 마스크를 꼭 쓰고 나가야 해
197,공란,공란,공란,공란,공란,오늘은 잠은 잘 잔 거 같아. 정말 개운해
198,공란,공란,공란,공란,공란,봄에는 벌들이 많은 거 같아. 옛날에 창문으로 들어온 적이 있었어
199,공란,공란,공란,공란,공란,신문이 하루에 한 번씩 꾸준히 잘 오고 있는 거 같아
200,공란,공란,공란,공란,공란,밖에서 마시는 커피는 색다른 거 같아
201,공란,공란,공란,공란,공란,요즘 꿈을 많이 꾸는 거 같아
